;             Ministério da Educação;;;;;;;;;;;;;;;;;;;;;;
;                     Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
                                                                                                    Taxa de Distorção Idade-Série por Município - 2014;;;;;;;;;;;;;;;;;;;;;;;
Taxa de Distorção Idade-Série, por Dependência Administrativa e Localização, nos Níveis de Ensino Fundamental de 8 e 9 anos e Médio, segundo a Região Geográfica, Unidades da Federação e seus respectivos Municípios em 2014. ;;;;;;;;;;;;;;;;;;;;;;;
Ano;Região;UF;Código do Município;Nome do Município;Localização;Rede;Taxa de Distorção Idade-Série - Ensino Fundamental de 8 e 9 anos;;;;;;;;;;;;Taxa de Distorção Idade-Série - Ensino Médio;;;;
;;;;;;;Total Fundamental;1º ao 5º Ano;6º ao 9º Ano;1º Ano;2º Ano;3º Ano;4º Ano;5º Ano;6º Ano;7º Ano;8º Ano;9º Ano;Total Médio; 1ª Série; 2ª Série; 3ª Série; 4ª Série
;;;;;;;;;;;;;;;;;;;;;;;
ano;NO_REGIAO;SIGLA;PK_COD_MUNICIPIO;NO_MUNICIPIO;TIPOLOCA;Dependad;TDI_FUN;TDI_F14;TDI_F58;TDI_F00;TDI_F01;TDI_F02;TDI_F03;TDI_F04;TDI_F05;TDI_F06;TDI_F07;TDI_F08;TDI_MED;TDI_M01;TDI_M02;TDI_M03;TDI_M04
2014;Sudeste;RJ;3300258;ARRAIAL DO CABO;Total;Privada;9.7;7.8;12.8;5.3;3.5;12.2;9.3;8.9;16.3;13.9;12;7.7;6.8;10;3.2;5.9;--
2014;Sudeste;RJ;3300258;ARRAIAL DO CABO;Total;Publico;40.7;33.6;50.6;22.8;25.9;38.8;39.2;40.6;60.6;50.6;49.2;38.1;33.1;37.7;36;20.7;--
2014;Sudeste;RJ;3300258;ARRAIAL DO CABO;Urbana;Total;33.5;27.2;42.6;17.5;20.5;31.8;33.3;33;53.1;41.2;39.7;32.8;30.3;34.3;32.7;19.4;--
2014;Sudeste;RJ;3300258;ARRAIAL DO CABO;Urbana;Estadual;38.5;--;38.5;--;--;--;--;--;--;--;--;38.5;47.7;50.7;53.8;33.7;--
2014;Sudeste;RJ;3300258;ARRAIAL DO CABO;Urbana;Federal;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
2014;Sudeste;RJ;3300258;ARRAIAL DO CABO;Urbana;Municipal;40.8;33.6;51.8;22.8;25.9;38.8;39.2;40.6;60.6;50.6;49.2;37.8;18.8;24.3;20.3;7.1;--
2014;Sudeste;RJ;3300258;ARRAIAL DO CABO;Urbana;Privada;9.7;7.8;12.8;5.3;3.5;12.2;9.3;8.9;16.3;13.9;12;7.7;6.8;10;3.2;5.9;--
2014;Sudeste;RJ;3300258;ARRAIAL DO CABO;Urbana;Publico;40.7;33.6;50.6;22.8;25.9;38.8;39.2;40.6;60.6;50.6;49.2;38.1;33.1;37.7;36;20.7;--
2014;Sudeste;RJ;3300308;BARRA DO PIRAI;Total;Total;35.5;31.8;40.5;20.4;30.6;34.6;38;35.8;38.8;44.8;41.8;36;32.9;40.1;30.4;24.9;--
2014;Sudeste;RJ;3300308;BARRA DO PIRAI;Total;Estadual;46.8;42.7;46.9;--;--;--;--;42.7;43.2;52.2;49.1;42.2;38.2;47.4;34.7;28.5;--
2014;Sudeste;RJ;3300308;BARRA DO PIRAI;Total;Municipal;39.4;38;48.9;23.7;37.5;40.9;45.7;44.1;53.5;48.2;47.9;39.4;--;--;--;--;--
2014;Sudeste;RJ;3300308;BARRA DO PIRAI;Total;Privada;8.4;5.5;12.4;5;3.3;7.6;4.9;6.6;11.2;12.2;13.3;13.1;12.1;13.4;11.3;10.9;--
2014;Sudeste;RJ;3300308;BARRA DO PIRAI;Total;Publico;42;38.1;47.3;23.7;37.5;40.9;45.7;43.9;46.1;51.4;48.9;41.8;38.2;47.4;34.7;28.5;--
2014;Sudeste;RJ;3300308;BARRA DO PIRAI;Rural;Total;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
2014;Sudeste;RJ;3300308;BARRA DO PIRAI;Rural;Privada;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
2014;Sudeste;RJ;3300308;BARRA DO PIRAI;Urbana;Total;35.5;31.8;40.5;20.4;30.6;34.6;38;35.8;38.8;44.8;41.8;36;32.9;40.1;30.4;24.9;--
2014;Sudeste;RJ;3300308;BARRA DO PIRAI;Urbana;Estadual;46.8;42.7;46.9;--;--;--;--;42.7;43.2;52.2;49.1;42.2;38.2;47.4;34.7;28.5;--
2014;Sudeste;RJ;3300308;BARRA DO PIRAI;Urbana;Municipal;39.4;38;48.9;23.7;37.5;40.9;45.7;44.1;53.5;48.2;47.9;39.4;--;--;--;--;--
2014;Sudeste;RJ;3300308;BARRA DO PIRAI;Urbana;Privada;8.4;5.5;12.4;5;3.3;7.6;4.9;6.6;11.2;12.2;13.3;13.1;12.1;13.4;11.3;10.9;--
2014;Sudeste;RJ;3300308;BARRA DO PIRAI;Urbana;Publico;42;38.1;47.3;23.7;37.5;40.9;45.7;43.9;46.1;51.4;48.9;41.8;38.2;47.4;34.7;28.5;--
2014;Sudeste;RJ;3300407;BARRA MANSA;Total;Total;22.2;14.2;33;2.4;2.3;17.8;23.9;25.4;36.5;36.2;30.6;27.7;29.5;33.7;28.1;25.2;--
2014;Sudeste;RJ;3300407;BARRA MANSA;Total;Estadual;38.5;--;38.5;--;--;--;--;--;35.2;48;36.8;35.8;32.4;37.1;30.9;27.4;--
2014;Sudeste;RJ;3300407;BARRA MANSA;Total;Municipal;23;16.9;35;2.6;2.4;21.4;28.4;29.5;42.5;36.3;31.1;23.9;--;--;--;--;--
2014;Sudeste;RJ;3300407;BARRA MANSA;Total;Privada;4.2;2.4;8;1.3;1.9;1.9;2.7;4.5;5.8;8.9;9.6;8.1;6.9;8.2;6.9;4.4;--
2014;Sudeste;RJ;3300407;BARRA MANSA;Total;Publico;25.5;16.9;36.3;2.6;2.4;21.4;28.4;29.5;40.7;39.8;33.5;30.1;32.4;37.1;30.9;27.4;--
2014;Sudeste;RJ;3300407;BARRA MANSA;Rural;Total;19.5;15.1;33.7;2;--;21.9;24.8;26.2;32;39.1;37.2;20.8;--;--;--;--;--
2014;Sudeste;RJ;3300407;BARRA MANSA;Rural;Municipal;19.5;15.1;33.7;2;--;21.9;24.8;26.2;32;39.1;37.2;20.8;--;--;--;--;--
2014;Sudeste;RJ;3300407;BARRA MANSA;Rural;Privada;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
2014;Sudeste;RJ;3300407;BARRA MANSA;Rural;Publico;19.5;15.1;33.7;2;--;21.9;24.8;26.2;32;39.1;37.2;20.8;--;--;--;--;--
2014;Sudeste;RJ;3300407;BARRA MANSA;Urbana;Total;22.3;14.2;33;2.4;2.4;17.6;23.9;25.4;36.6;36.2;30.4;27.8;29.5;33.7;28.1;25.2;--
2014;Sudeste;RJ;3300407;BARRA MANSA;Urbana;Estadual;38.5;--;38.5;--;--;--;--;--;35.2;48;36.8;35.8;32.4;37.1;30.9;27.4;--
2014;Sudeste;RJ;3300407;BARRA MANSA;Urbana;Municipal;23.2;17;35.1;2.7;2.5;21.4;28.6;29.7;42.8;36.2;30.9;24;--;--;--;--;--
2014;Sudeste;RJ;3300407;BARRA MANSA;Urbana;Privada;4.2;2.4;8;1.3;1.9;1.9;2.7;4.5;5.8;8.9;9.6;8.1;6.9;8.2;6.9;4.4;--
2014;Sudeste;RJ;3300407;BARRA MANSA;Urbana;Publico;25.7;17;36.4;2.7;2.5;21.4;28.6;29.7;40.9;39.8;33.4;30.2;32.4;37.1;30.9;27.4;--
2014;Sudeste;RJ;3300456;BELFORD ROXO;Total;Total;29.4;24.9;35;8.1;21.5;30.3;31.4;30.6;36.3;38.4;33.3;31.3;34.1;39.3;33;27.2;--
